"player","position","game_num","week_num","gs","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","two_pt_md","all_td","scoring","sacks","tackles_solo","tackles_assists","tackles_combined","tackles_loss","qb_hits","fumbles","fumbles_lost","fumbles_forced","fumbles_rec","fumbles_rec_yds","fumbles_rec_td","offense","off_pct","defense","def_pct","special_teams","st_pct","status","reason","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","safety_md","year"
"Davante Adams","WR","17","18","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","9","5","73","14.60","0","55.6%","8.11",NA,"0","0","0.0","0","0","0","0","0","0","0","0","1","0","0","63","90%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","28","9.33","0","60.0%","5.60",NA,"0","0","0.0","0","0","0","0","0","1","1","0","0","0","0","33","58%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","2","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","110","18.33","1","100.0%","18.33",NA,"1","6","0.0","0","0","0","0","0","0","0","0","0","0","0","34","50%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","3","3","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","41","20.50","0","66.7%","13.67",NA,"0","0","0.0","0","0","0","0","0","1","1","0","0","0","0","50","76%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","4","4","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","46","15.33","0","75.0%","11.50",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","38","66%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","5","5","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0.0%","0.00",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","7","12%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","7","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0.0%","0.00",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","3","6%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","8","8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","2.00","0","100.0%","2.00",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","19","24%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","9","9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0.0%","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","33%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","10","11","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","18","9.00","0","66.7%","6.00",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","37","59%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","11","12","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","6","65","10.83","1","75.0%","8.13",NA,"1","6","0.0","0","0","0","0","0","0","0","0","0","0","0","43","78%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","12","13","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","17","8.50","0","66.7%","5.67",NA,"0","0","0.0","0","0","0","0","0","0","0","0","1","0","0","30","56%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","13","14","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","5","32","6.40","0","50.0%","3.20",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","57","97%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","14","15","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","1","3","3.00","0","16.7%","0.50",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","54","83%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","15","16","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0.0%","0",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","19","34%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","16","17","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0.0%","0.00",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","27","45%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Nelson Agholor","WR","17","18","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0.0%","0.00",NA,"0","0","0.0","1","0","1","0","0","0","0","0","0","0","0","4","6%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Jamal Agnew","WR","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","6.00","0","1","1","6","6.00","0","100.0%","6.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"7","10%","0","0%","8","33%","0",NA,"1","2","2.00","0","0","0","0","0",NA,2022
"Jamal Agnew","WR","2","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","0.50","0","1","0","0","0","0","0.0%","0.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"7","10%","0","0%","6","30%","0",NA,"2","7","3.50","0","0","0","0","0",NA,2022
"Jamal Agnew","WR","3","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","1","17","17.00","0","100.0%","17.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"12","16%","0","0%","7","29%","0",NA,"3","18","6.00","0","0","0","0","0",NA,2022
"Jamal Agnew","WR","4","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","6","4","50","12.50","2","66.7%","8.33","0","2","12","0.0","1","0","1","0","0",NA,NA,NA,NA,NA,NA,"18","38%","0","0%","9","38%","0",NA,"2","8","4.00","0","3","70","23.33","0",NA,2022
"Jamal Agnew","WR","5","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3.00","0","1","0","0","0","0","0.0%","0.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"6","8%","0","0%","10","48%","0",NA,"2","21","10.50","0","3","62","20.67","0",NA,2022
"Jamal Agnew","WR","6","6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","19.00","0","1","1","5","5.00","0","100.0%","5.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"5","8%","0","0%","6","24%","0",NA,"1","8","8.00","0","1","23","23.00","0",NA,2022
"Jamal Agnew","WR","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Jamal Agnew","WR","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Jamal Agnew","WR","9","9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"1","1%","0","0%","9","33%","0",NA,"2","16","8.00","0","2","62","31.00","0",NA,2022
"Jamal Agnew","WR","10","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","4","3","4","1.33","0","75.0%","1.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"7","11%","0","0%","7","27%","0",NA,"1","19","19.00","0","2","72","36.00","0",NA,2022
"Jamal Agnew","WR","11","12","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","5","5","37","7.40","1","100.0%","7.40","0","1","6","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"15","24%","0","0%","8","30%","0",NA,"0","0","0","0","0","0","0","0",NA,2022
"Jamal Agnew","WR","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Jamal Agnew","WR","12","13","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3.00","0","1","0","0","0","0","0.0%","0.00","1","0","2","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"9","16%","0","0%","9","35%","0",NA,"0","0","0","0","2","46","23.00","0",NA,2022
"Jamal Agnew","WR","13","14","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","8.00","0","3","3","36","12.00","0","100.0%","12.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"11","15%","0","0%","7","27%","0",NA,"3","20","6.67","0","2","42","21.00","0",NA,2022
"Jamal Agnew","WR","14","15","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","52","17.33","0","3","2","12","6.00","0","66.7%","4.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"10","14%","0","0%","12","36%","0",NA,"1","13","13.00","0","0","0","0","0",NA,2022
"Jamal Agnew","WR","15","16","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","1","8","8.00","0","100.0%","8.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"9","13%","0","0%","7","32%","0",NA,"1","4","4.00","0","1","25","25.00","0",NA,2022
"Jamal Agnew","WR","16","17","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","-6","-3.00","0","1","1","4","4.00","0","100.0%","4.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"17","27%","0","0%","8","32%","0",NA,"4","36","9.00","0","1","20","20.00","0",NA,2022
"Jamal Agnew","WR","17","18","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","1","8","8.00","0","100.0%","8.00","0","0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"7","14%","0","0%","7","29%","0",NA,"2","33","16.50","0","4","125","31.25","0",NA,2022
"Jamal Agnew","WR","18","19","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","1","2","2.00","0","100.0%","2.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","4","5%","0","0%","12","40%","0",NA,"0","0","0","0","4","134","33.50","0",NA,2022
